Time (seconds),strength
0.76,1016
0.86,1010
0.97,1045
1.07,1038
1.18,1050
1.28,1039
1.38,1031
1.49,1013
1.59,1015
1.70,1017
1.80,1026
1.90,1020
2.01,1020
2.11,1029
2.22,1037
2.32,1036
2.42,1033
2.53,1029
2.63,1020
2.74,1012
2.84,1027
2.94,1015
3.05,1029
3.15,1023
3.28,1025
3.38,1038
3.48,1024
3.59,1040
3.69,1028
3.80,1037
3.90,1029
4.00,1029
4.11,1024
4.21,1020
4.32,1023
4.42,1024
4.52,1023
4.63,1030
4.73,1029
4.84,1029
4.94,1035
5.04,1033
5.15,1019
5.25,1022
5.36,1030
5.46,1026
5.56,1022
5.67,1010
5.77,1026
5.90,1012
6.00,1019
6.10,1027
6.21,1032
6.31,1028
6.42,1050
6.52,1036
6.62,1047
6.73,1017
6.83,794
6.94,1134
7.04,1143
7.14,1031
7.25,885
7.35,933
7.46,935
7.56,936
7.66,1245
7.77,1054
7.87,1084
7.98,1091
8.08,1151
8.18,991
8.29,1176
8.39,1062
8.50,1013
8.61,1084
8.72,992
8.82,1027
8.93,1062
9.03,972
9.14,1140
9.24,1094
9.34,918
9.45,786
9.55,1184
9.66,1128
9.76,1034
9.86,1091
9.97,1021
10.07,1033
10.18,1057
10.28,1064
10.38,1065
10.49,1155
10.59,995
10.70,1044
10.80,1095
10.90,1045
11.01,1304
11.11,1065
11.22,1026
11.34,1073
11.44,997
11.54,1186
11.65,1116
11.75,1164
1.18,1046
1.28,936
1.39,1190
1.49,1033
1.64,939
1.74,1137
1.84,1170
1.95,1053
2.05,1105
2.16,1016
2.26,1173
2.37,1087
2.47,1259
2.57,1017
2.68,1082
2.78,1097
2.89,1198
2.99,1099
3.09,1059
3.20,1319
3.32,863
3.42,1061
3.53,1227
3.63,982
3.82,1315
3.93,877
4.03,973
4.30,1266
4.40,988
4.66,939
4.85,1085
4.96,862
5.06,1054
5.25,925
5.35,915
5.46,986
5.64,1584
5.75,849
5.85,975
6.04,875
6.15,1117
6.25,1327
6.44,1035
6.54,1252
6.64,1063
6.83,1089
6.94,974
7.06,1124
7.17,1056
7.27,1003
7.37,940
7.56,1067
7.66,960
7.77,894
7.96,991
8.06,1070
8.16,1027
8.35,1042
8.46,1073
8.56,920
8.75,1033
8.85,1017
8.96,944
9.15,1027
9.25,1086
9.35,1046
9.63,1000
9.73,1305
9.92,756
10.02,1052
10.13,922
10.30,959
10.41,865
10.53,900
10.63,1002
10.74,1395
10.84,720
11.03,859
11.13,1422
11.24,830
11.42,935
11.53,1063
11.63,995
11.82,1058
11.92,1459
12.03,1257
12.22,561
12.32,2023
12.42,2659
12.59,1958
12.69,1317
12.80,1340
12.99,2315
13.09,2446
13.19,1929
13.47,418
13.57,1047
13.78,1689
13.97,2033
14.07,647
14.18,1196
14.43,2300
14.62,566
14.72,1002
14.82,1711
15.01,2513
15.12,1894
15.22,1345
15.41,1304
15.51,2079
15.62,2271
15.80,1171
15.91,366
16.01,311
16.20,2488
16.30,2613
16.41,1520
16.60,409
16.70,401
16.80,1506
17.06,2483
17.29,776
17.48,1460
17.58,1284
17.69,1905
17.88,1221
17.98,291
18.09,484
18.27,2688
18.38,1264
18.48,1801
18.67,724
18.77,578
18.88,1510
19.06,2064
19.17,2291
19.27,1589
19.46,1498
19.56,1557
19.67,1735
19.86,1081
19.96,1002
20.07,1467
20.33,1391
20.54,283
20.66,1653
20.76,2398
20.87,1647
20.97,878
21.08,1081
21.31,1416
21.42,1671
21.52,1649
21.71,869
21.81,476
21.92,937
22.10,2358
22.21,1082
22.31,995
22.50,1318
22.60,1490
22.71,1398
22.90,1559
23.00,1118
23.11,703
23.38,2109
23.48,1702
23.67,1062
23.78,1299
23.98,1620
24.08,1530
24.25,1579
24.36,466
24.46,266
24.72,2299
24.83,2320
25.02,969
25.12,1194
25.22,1101
25.40,1820
25.50,1903
25.60,2140
25.79,1371
25.90,917
26.00,2928
26.28,347
26.38,777
26.57,2069
26.67,2158
26.78,1440
27.05,2136
27.16,1524
27.36,431
27.62,1158
27.81,1113
27.92,1255
28.02,1212
28.21,3072
28.31,1495
28.42,1561
28.60,284
28.71,1747
28.81,1441
29.00,2337
29.11,3206
29.21,631
29.40,787
29.50,1953
29.60,2063
29.79,1540
29.90,885
30.00,994
30.19,1145
30.29,1058
30.40,918
30.58,2660
30.71,1729
30.81,999
30.92,1146
31.02,2185
31.12,1946
31.31,1592
31.42,1345
31.52,1336
31.71,1142
31.81,1577
31.92,1231
32.10,1667
32.21,1047
32.31,461
32.50,1130
32.61,2042
32.71,2088
32.90,1133
33.00,1692
33.10,1593
33.28,2517
33.38,2350
33.49,3328
33.68,1433
33.80,1520
33.90,1905
34.01,1722
34.11,1125
34.22,888
34.40,1155
34.51,1227
34.61,1874
34.80,2516
34.90,2131
35.01,2909
35.20,2589
35.30,1532
35.40,1405
35.59,1260
35.70,1241
35.80,1017
35.99,876
36.09,1538
36.20,2383
36.39,1540
36.49,2598
36.59,2025
36.90,652
37.00,608
37.27,2093
37.47,1043
37.57,1029
37.68,999
37.87,1802
37.97,2110
38.07,2661
38.26,2441
38.37,968
38.47,983
38.66,2242
38.76,2177
38.86,982
39.05,931
39.16,956
39.26,983
39.45,1785
39.55,1952
39.66,2930
39.84,2144
39.95,1410
40.05,918
40.46,1461
40.65,825
40.76,963
40.86,1046
41.05,1255
41.15,1791
41.26,2170
41.43,1931
41.53,2326
41.64,804
41.83,2449
41.93,1581
42.03,2141
42.20,940
42.31,1179
42.41,958
42.60,965
42.70,1073
42.81,1772
43.00,1428
43.10,2405
43.20,1447
43.39,1354
43.49,1081
43.62,1156
43.72,2245
43.82,1573
43.93,1038
44.12,617
44.22,532
44.32,2104
44.51,1090
44.62,1425
44.72,1433
44.91,1139
45.01,1454
45.12,1253
45.31,986
45.41,1360
45.51,885
45.78,1463
45.99,1689
46.09,2760
46.19,2529
46.38,2388
46.48,531
46.59,2241
46.78,2014
46.90,2030
47.00,1380
47.11,765
47.21,937
47.32,1285
47.50,1175
47.61,2093
47.71,2374
47.90,1544
48.00,1254
48.11,1878
48.30,973
48.40,1452
48.51,1634
48.69,1043
48.80,1036
48.90,1188
49.09,1087
49.19,1314
49.30,1130
49.48,1731
49.59,3148
49.69,2441
49.90,916
50.09,1539
50.20,1424
50.30,2053
50.49,1087
50.59,958
50.70,970
50.97,1741
51.07,1631
51.26,2060
51.36,786
51.47,1205
51.64,2151
51.75,2099
51.85,1623
52.04,1221
52.14,1256
52.24,1080
52.50,862
52.69,1863
52.79,2678
52.90,2054
53.08,1653
53.19,496
53.31,2091
53.42,2101
53.52,1467
53.62,1341
53.83,931
53.93,1177
54.04,1242
54.22,1535
54.33,2197
54.43,2112
54.62,1158
54.72,731
54.83,1217
55.02,1735
55.12,1295
55.22,1703
55.41,1174
55.52,1045
55.62,1140
55.81,1392
55.91,1655
56.02,2085
56.30,996
56.40,1001
56.61,1349
56.87,1520
57.06,884
57.16,1042
57.27,900
57.46,981
57.56,1409
57.67,729
57.85,877
57.96,966
58.06,1124
58.25,1124
58.35,1211
58.46,1044
58.65,912
58.75,1071
58.85,1291
59.04,1248
59.14,1064
59.25,1033
59.42,1119
59.53,1044
59.63,738
59.79,1130
59.92,1083
60.02,672
60.12,933
60.23,783
60.33,843
60.52,854
60.62,952
60.73,927
60.92,1127
61.02,765
61.12,950
61.31,1198
61.42,1833
61.52,1251
61.71,1256
61.81,1069
61.92,1136
62.08,960
62.18,901
62.29,1078
62.48,1070
62.58,1053
62.68,1026
62.86,1045
62.98,1775
63.09,941
63.19,683
63.29,1493
63.40,1332
63.58,902
63.69,1153
63.79,1426
63.98,1075
64.09,663
64.19,1174
64.38,1112
64.48,1069
64.58,941
64.77,1034
64.88,1031
64.98,1033
65.17,999
65.27,896
65.38,1153
65.56,1361
65.67,1550
65.77,1194
65.96,1080
66.08,795
66.19,1510
66.29,1440
66.40,836
66.50,1197
66.69,353
66.79,868
66.90,1014
67.08,1039
67.19,1070
67.29,1091
67.48,1063
67.58,1104
67.69,1062
67.88,1062
67.98,1039
68.08,1035
68.27,1038
68.38,1055
68.48,1047
68.67,1043
68.77,1039
68.88,1039
69.07,1043
69.19,1051
69.29,1047
69.40,1039
69.50,1039
69.61,1042
69.80,1035
69.90,1047
70.01,1047
70.20,1051
70.30,1039
70.40,1043
70.59,1039
70.70,1043
70.80,1039
70.99,1043
71.09,1039
71.20,1043
71.38,1039
71.49,1039
71.59,1047
71.78,1040
71.89,1039
71.99,1039
72.20,1043
72.38,1039
72.49,1039
72.59,1046
72.78,1039
72.88,1047
72.99,1051
73.18,1039
73.28,1039
73.39,1043
73.57,1039
73.68,1039
73.78,1051
73.97,1048
74.07,1051
74.18,1063
74.36,1039
74.47,1051
74.57,1043
74.76,1047
74.86,1043
74.97,1039
75.16,1051
75.28,1039
75.38,1039
75.49,1043
75.59,1048
75.70,1039
75.90,1051
76.01,1042
76.11,1035
76.30,1043
76.40,1043
76.51,1051
76.70,1043
76.80,1035
76.90,1039
77.09,1046
77.20,1039
77.30,1046
77.50,1034
77.60,1055
77.70,1043
77.89,1039
78.00,1043
78.10,1023
78.32,989
78.51,1002
78.61,1119
78.71,1069
78.90,981
79.00,1265
79.11,828
79.30,1020
79.40,1044
79.50,1050
79.69,1020
79.80,1037
79.90,1038
80.09,998
80.19,1059
80.30,1052
80.49,1136
80.59,992
80.69,1035
80.88,1067
80.99,1078
81.09,904
81.28,1037
81.38,1050
81.51,1028
81.61,1037
81.72,1037
81.82,1038
82.01,1440
82.11,893
82.22,692
82.48,587
82.68,828
82.78,964
82.89,1178
83.08,1268
83.18,1180
83.28,943
83.48,497
83.58,1034
83.68,1109
83.87,1256
83.98,1328
84.08,1725
84.27,908
84.37,871
84.48,1111
84.66,1012
84.79,1089
84.89,1525
85.00,1034
85.10,1439
85.21,1068
85.39,1142
85.50,1259
85.60,1006
85.76,1281
85.87,924
85.97,1378
86.16,1041
86.26,1782
86.36,1766
86.55,2171
86.66,1028
86.76,834
86.95,664
87.05,1413
87.16,1140
87.34,1587
87.45,904
87.55,1618
87.74,998
87.86,983
87.97,1174
88.07,951
88.18,932
88.28,1044
88.47,1157
88.57,1067
88.68,1099
88.87,1061
88.97,1736
89.07,1266
89.27,972
89.38,928
89.48,1027
89.68,1041
89.78,856
89.89,1181
90.08,1021
90.18,1168
90.28,964
90.47,1074
90.58,843
90.68,882
90.87,1022
91.21,783
91.31,1041
91.42,1052
91.52,2053
91.63,625
91.73,395
91.83,1125
91.94,1004
92.04,976
92.14,959
92.25,994
92.35,996
92.46,1001
92.56,998
92.66,978
92.77,972
92.87,992
92.98,989
93.08,984
93.18,988
93.29,974
93.39,980
93.50,984
93.60,978
93.70,981
93.83,984
93.93,980
94.04,980
94.14,983
94.24,984
94.35,959
94.45,975
94.56,995
94.66,980
94.77,980
94.87,975
94.97,981
95.08,1005
95.18,980
95.29,989
95.39,990
95.49,987
95.60,981
95.70,984
95.80,995
95.91,990
96.01,982
96.12,971
96.22,977
96.32,992
96.43,995
96.55,978
96.66,981
96.76,983
96.86,983
96.97,986
97.07,978
97.18,986
97.28,988
97.38,982
97.49,983
97.59,985
97.70,993
97.80,981
97.90,988
98.01,985
98.11,983
98.22,985
98.32,986
98.43,995
98.53,987
98.63,985
98.74,983
98.84,987
98.95,995
99.05,985
99.17,990
99.28,976
99.38,983
99.48,988
